Doc_ID,File_Name,เรื่อง,File_Code,Category_Code,หัวเรื่อง,ประเภทเอกสาร,วันที่สิ้นสุด,สถานะ,สถาบันผู้เกี่ยวข้อง,กฎหมาย,เลขที่ (Thai)
0080,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่อง แนวทางการระบุและการกำกับดูแลธนาคารพาณิชย์ที่มีนัยต่อความเสี่ยงเชิงระบบในประเทศ และประกาศธนาคารแห่งประเทศไทย เรื่อง รายชื่อธนาคารพาณิชย์ที่มีนัยต่อความเสี่ยงเชิงระบบในประเทศ,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่อง แนวทางการระบุและการกำกับดูแลธนาคารพาณิชย์ที่มีนัยต่อความเสี่ยงเชิงระบบในประเทศ และประกาศธนาคารแห่งประเทศไทย เรื่อง รายชื่อธนาคารพาณิชย์ที่มีนัยต่อความเสี่ยงเชิงระบบในประเทศ,25600245.pdf,3,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']",['1'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",[],ธปท.ฝนส.(21)ว.1508/2560
0081,นำส่งประกาศธนาคารแห่งประเทศไทยว่าด้วยหลักเกณฑ์การดูแลความเสี่ยงของกลุ่มธุรกิจทางการเงิน ,นำส่งประกาศธนาคารแห่งประเทศไทยว่าด้วยหลักเกณฑ์การดูแลความเสี่ยงของกลุ่มธุรกิจทางการเงิน ,25610156.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['1900-01-01 00:00:00', '2019-06-18 00:00:00']",['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเครดิตฟองซิเอร์', 'บริษัทเงินทุน']","['พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  59', 'พรบ.สง. มาตรา  34', 'พรบ.สง. มาตรา  55', 'พรบ.สง. มาตรา  31']",สนส. 12/2561
0082,หลักเกณฑ์การกำกับดูแลความเสี่ยงของกลุ่มธุรกิจทางการเงิน (ฉบับที่ 2),หลักเกณฑ์การกำกับดูแลความเสี่ยงของกลุ่มธุรกิจทางการเงิน (ฉบับที่ 2),25610199.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['1900-01-01 00:00:00', '2019-06-18 00:00:00']",['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเครดิตฟองซิเอร์', 'บริษัทเงินทุน', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",['พรบ.สง. มาตรา  57'],สนส. 18/2561
0083,สนส. 7/2562 เรื่อง องค์ประกอบของเงินกองทุนสำหรับธนาคารพาณิชย์ที่จดทะเบียนในประเทศ,สนส. 7/2562 เรื่อง องค์ประกอบของเงินกองทุนสำหรับธนาคารพาณิชย์ที่จดทะเบียนในประเทศ,25620136.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],['ธนาคารพาณิชย์จดทะเบียนในประเทศ'],"['พรบ.สง. มาตรา  29', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  71']",สนส. 7/2562
0084,หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์ โดย Internal Ratings-Based Approach (วิธี IRB),หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์ โดย Internal Ratings-Based Approach (วิธี IRB),25620137.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2019-06-29 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  32', 'พรบ.สง. มาตรา  30', 'พรบ.สง. มาตรา  29']",สนส. 10/2562
0085,สนส. 8/2562 เรื่อง องค์ประกอบของเงินกองทุนสำหรับสาขาของธนาคารพาณิชย์ต่างประเทศ,สนส. 8/2562 เรื่อง องค์ประกอบของเงินกองทุนสำหรับสาขาของธนาคารพาณิชย์ต่างประเทศ,25620138.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],['ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ'],"['พรบ.สง. มาตรา  32', 'พรบ.สง. มาตรา  29', 'พรบ.สง. มาตรา  71']",สนส. 8/2562
0086,หนังสือเวียนนำส่งประกาศธนาคารแห่งประเทศไทยที่เกี่ยวข้องกับการกำกับดูแลเงินกองทุนเพื่อรองรับมาตรฐานการรายงานทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน (TFRS 9),หนังสือเวียนนำส่งประกาศธนาคารแห่งประเทศไทยที่เกี่ยวข้องกับการกำกับดูแลเงินกองทุนเพื่อรองรับมาตรฐานการรายงานทางการเงิน ฉบับที่ 9 เรื่อง เครื่องมือทางการเงิน (TFRS 9),25620139.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['1900-01-01 00:00:00', '2020-01-01 00:00:00']",['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเครดิตฟองซิเอร์', 'บริษัทเงินทุน']","['พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  31']",สนส. 11/2562
0087,ประกาศธนาคารแห่งประเทศไทย ที่ สนส. 14/2562 เรื่อง การเปิดเผยข้อมูลการดำรงเงินกองทุนสำหรับธนาคารพาณิชย์ (ฉบับที่ 2),ประกาศธนาคารแห่งประเทศไทย ที่ สนส. 14/2562 เรื่อง การเปิดเผยข้อมูลการดำรงเงินกองทุนสำหรับธนาคารพาณิชย์ (ฉบับที่ 2),25620141.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']",['พรบ.สง. มาตรา  4'],สนส. 14/2562
0088,หลักเกณฑ์การกำกับดูแลด้านเงินกองทุนและการดำรงสินทรัพย์สภาพคล่องสำหรับบริษัทเงินทุน,หลักเกณฑ์การกำกับดูแลด้านเงินกองทุนและการดำรงสินทรัพย์สภาพคล่องสำหรับบริษัทเงินทุน,25620143.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],['บริษัทเงินทุน'],"['พรบ.สง. มาตรา  63', 'พรบ.สง. มาตรา  29', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  64', 'พรบ.สง. มาตรา  31', 'พรบ.สง. มาตรา  30']",สนส. 12/2562
0089,หลักเกณฑ์การกำกับดูแลด้านเงินกองทุนและการดำรงสินทรัพย์สภาพคล่องสำหรับบริษัทเครดิตฟองซิเอร์,หลักเกณฑ์การกำกับดูแลด้านเงินกองทุนและการดำรงสินทรัพย์สภาพคล่องสำหรับบริษัทเครดิตฟองซิเอร์,25620145.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],['บริษัทเครดิตฟองซิเอร์'],"['พรบ.สง. มาตรา  63', 'พรบ.สง. มาตรา  29', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  64', 'พรบ.สง. มาตรา  31', 'พรบ.สง. มาตรา  30']",สนส. 13/2562
0090,หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์โดย Standardised Approach (วิธี SA),หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์โดย Standardised Approach (วิธี SA),25620146.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2019-06-29 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  32', 'พรบ.สง. มาตรา  30', 'พรบ.สง. มาตรา  29']",สนส. 9/2562
0091,ประกาศธนาคารแห่งประเทศไทย ที่ สนส. 15/2562 เรื่อง การเปิดเผยข้อมูลการดำรงเงินกองทุนสำหรับกลุ่มธุรกิจทางการเงิน (ฉบับที่ 2),ประกาศธนาคารแห่งประเทศไทย ที่ สนส. 15/2562 เรื่อง การเปิดเผยข้อมูลการดำรงเงินกองทุนสำหรับกลุ่มธุรกิจทางการเงิน (ฉบับที่ 2),25620147.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-01-01 00:00:00'],['ใช้อยู่'],['ธนาคารพาณิชย์จดทะเบียนในประเทศ'],['พรบ.สง. มาตรา  31'],สนส. 15/2562
0092,หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์ โดย Standardised Approach (วิธี SA) (ฉบับที่ 2),หลักเกณฑ์การคำนวณสินทรัพย์เสี่ยงด้านเครดิตสำหรับธนาคารพาณิชย์ โดย Standardised Approach (วิธี SA) (ฉบับที่ 2),25630081.pdf,3,['สถาบันการเงิน'],['ประกาศ ธปท.'],['2020-03-24 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ']","['พรบ.สง. มาตรา  32', 'พรบ.สง. มาตรา  30', 'พรบ.สง. มาตรา  29']",สนส. 3/2563
0093,หนังสือเวียนนำส่งประกาศ ธปท. ที่ สนส. 22/2563 เรื่อง องค์ประกอบของเงินกองทุนสำหรับธนาคารพาณิชย์ที่จดทะเบียนในประเทศ (ฉบับที่ 2),หนังสือเวียนนำส่งประกาศ ธปท. ที่ สนส. 22/2563 เรื่อง องค์ประกอบของเงินกองทุนสำหรับธนาคารพาณิชย์ที่จดทะเบียนในประเทศ (ฉบับที่ 2),25630304.pdf,3,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']",['2020-12-16 00:00:00'],['ใช้อยู่'],['ธนาคารพาณิชย์จดทะเบียนในประเทศ'],"['พรบ.สง. มาตรา  29', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  71']",0093
0094,หลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของบริษัทเงินทุน (สนส.6/2564),หลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของบริษัทเงินทุน (สนส.6/2564),25640137.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['2021-08-13 00:00:00', '2021-08-11 00:00:00']",['ใช้อยู่'],['บริษัทเงินทุน'],"['พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  56', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  58', 'พรบ.สง. มาตรา  59', 'พรบ.สง. มาตรา  34', 'พรบ.สง. มาตรา  54', 'พรบ.สง. มาตรา  33']",สนส. 6/2564
0095,นำส่งหลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของธนาคารพาณิชย์,นำส่งหลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของธนาคารพาณิชย์,25640138.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']","['2021-08-13 00:00:00', '1900-01-01 00:00:00']",['ใช้อยู่'],['ธนาคารพาณิชย์จดทะเบียนในประเทศ'],"['พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  56', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  58', 'พรบ.สง. มาตรา  59', 'พรบ.สง. มาตรา  34', 'พรบ.สง. มาตรา  54', 'พรบ.สง. มาตรา  33']",สนส. 8/2564
0096,นำส่งหลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของบริษัทเครดิตฟองซิเอร์  ,นำส่งหลักเกณฑ์การกำกับดูแลโครงสร้างและขอบเขตธุรกิจของกลุ่มธุรกิจทางการเงินของบริษัทเครดิตฟองซิเอร์  ,25640142.pdf,4,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']",['2021-08-13 00:00:00'],['ใช้อยู่'],['บริษัทเครดิตฟองซิเอร์'],"['พรบ.สง. มาตรา  4', 'พรบ.สง. มาตรา  71', 'พรบ.สง. มาตรา  56', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  58', 'พรบ.สง. มาตรา  59', 'พรบ.สง. มาตรา  34', 'พรบ.สง. มาตรา  54', 'พรบ.สง. มาตรา  33']",สนส. 7/2564
0097,นำส่งประกาศธนาคารแห่งประเทศไทย เรื่อง หลักเกณฑ์การกำกับดูแลเงินกองทุนโดยทางการ (Pillar 2),นำส่งประกาศธนาคารแห่งประเทศไทย เรื่อง หลักเกณฑ์การกำกับดูแลเงินกองทุนโดยทางการ (Pillar 2),25640144.pdf,3,['สถาบันการเงิน'],"['ประกาศ ธปท.', 'หนังสือเวียน']",['2022-01-01 00:00:00'],['ใช้อยู่'],"['ธนาคารพาณิชย์จดทะเบียนในประเทศ', 'บริษัทเครดิตฟองซิเอร์', 'ธนาคารพาณิชย์ที่จดทะเบียนในต่างประเทศ', 'บริษัทเงินทุน']","['พรบ.สง. มาตรา  30', 'พรบ.สง. มาตรา  57', 'พรบ.สง. มาตรา  71']",สกส1. 2/2564
