max_pair_list,max_score_list
0000|0002|0002 ~ 0006|0001|0006,0.5283430039951764
0001|0001|0016 ~ 0002|0002|0006,0.4619665604522925
0001|0001|0003 ~ 0004|0001|0005,0.3335368646956473
0001|0001|0014 ~ 0004|0001|0008,0.3033460398741927
0001|0001|0016 ~ 0006|0001|0006,0.4729890961442362
0001|0004|0000 ~ 0002|0006|0006,0.3425864432777271
0001|0004|0001 ~ 0022|0005|0029,0.3386416149342739
0001|0004|0000 ~ 0022|0011|0001,0.3533694875970724
0001|0004|0004 ~ 0022|0011|0020,0.3964747780571117
0001|0004|0004 ~ 0022|0011|0028,0.31872866764219
0001|0004|0004 ~ 0022|0017|0000,0.3518538723113005
0001|0006|0008 ~ 0002|0009|0009,0.8114217758899006
0001|0006|0016 ~ 0002|0009|0017,0.3887935007575172
0001|0006|0007 ~ 0012|0008|0004,0.703290738177191
0001|0006|0005 ~ 0025|0003|0006,0.7551027465859855
0001|0006|0017 ~ 0046|0023|0017,0.3590495739258842
0002|0003|0014 ~ 0012|0004|0008,0.3208592203450195
0002|0003|0016 ~ 0012|0004|0019,0.3265092435398299
0002|0003|0014 ~ 0012|0005|0003,0.4071719785481161
0002|0004|0000 ~ 0022|0006|0005,0.3802897648010493
0002|0006|0001 ~ 0022|0011|0007,0.4115187127353527
0002|0006|0014 ~ 0022|0011|0015,0.3057568809326359
0002|0006|0000 ~ 0030|0009|0028,0.3694352717886155
0002|0008|0004 ~ 0012|0007|0002,0.8938510701271204
0002|0008|0014 ~ 0012|0007|0009,0.4753648067142177
0002|0008|0023 ~ 0012|0007|0020,0.791537399130509
0002|0008|0003 ~ 0022|0012|0003,0.8336104423443033
0002|0008|0017 ~ 0022|0012|0018,0.8996480074924822
0002|0008|0017 ~ 0044|0022|0017,0.6251202303046117
0002|0008|0023 ~ 0045|0028|0007,0.7629735279873116
0002|0008|0015 ~ 0046|0022|0034,0.5445275361916393
0002|0008|0015 ~ 0047|0028|0008,0.5693224814662495
0002|0008|0017 ~ 0060|0003|0009,0.4423320004729092
0002|0008|0015 ~ 0062|0002|0009,0.5632773491902683
0002|0008|0017 ~ 0063|0002|0017,0.6251202303046117
0002|0009|0005 ~ 0012|0008|0001,0.7683813660503467
0002|0009|0014 ~ 0012|0008|0009,0.3323009838623273
0002|0010|0000 ~ 0012|0008|0030,0.7820632928742991
